File Name,Num Vertices,Num Edges,Treewidth,Bags,Execution Time (miliseconds)
he035.gr,714,1334,38,676,167
he036.gr,817,1522,44,773,221
he003.gr,167,391,10,157,5
he010.gr,82,146,5,77,1
he034.gr,836,1436,27,809,152
he018.gr,762,1472,40,722,255
he022.gr,735,1479,58,677,273
he011.gr,900,1795,77,823,418
he038.gr,604,1128,29,575,124
he046.gr,340,1425,96,244,223
he041.gr,307,4403,55,252,61
he019.gr,926,1771,49,877,308
he001.gr,7,9,2,5,0
he044.gr,125,736,66,59,40
he042.gr,179,2428,42,139,44
he020.gr,849,1503,35,814,209
he006.gr,111,199,7,105,3
he007.gr,303,524,11,292,13
he040.gr,196,4596,79,137,94
he004.gr,172,408,10,162,6
he030.gr,661,1283,45,616,189
he049.gr,95,505,34,61,12
he031.gr,630,1223,32,598,167
he039.gr,603,1213,34,569,144
he043.gr,299,4053,46,256,161
he037.gr,1003,1704,42,961,214
he005.gr,13,22,3,10,0
he009.gr,452,806,18,434,40
he025.gr,742,1419,44,698,225
he008.gr,332,580,15,317,18
he002.gr,172,408,11,161,5
he015.gr,916,1644,40,876,258
he048.gr,363,2992,163,200,615
he014.gr,739,1451,42,697,258
he028.gr,786,1455,36,750,206
he017.gr,840,1714,64,776,363
he045.gr,199,842,56,143,55
he050.gr,192,1230,58,142,91
he023.gr,1149,2044,50,1099,352
he012.gr,921,1614,34,887,236
he032.gr,676,1348,42,634,196
he029.gr,1069,1785,33,1036,223
he016.gr,790,1523,59,731,278
he033.gr,614,1187,40,574,160
he021.gr,717,1400,43,674,231
he047.gr,239,2932,32,212,38
he024.gr,773,1419,53,720,220
he026.gr,725,1397,52,673,215
he027.gr,1024,1797,52,972,286
he013.gr,988,1845,58,930,377
